Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Skill_React,Skill_NodeJS,Skill_Python,Skill_MongoDB,Ethnicity_Group
14,60,0,2,0,5,50,2,1,2,2,2,1,1,3,0,0,2,0,61,1,1,5,2,Group B
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,0,68,3,5,3,2,Group B
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,1,61,5,1,4,3,Group C
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,0,64,3,5,4,1,Group A
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,0,67,5,3,4,1,Group C
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,0,63,1,1,1,5,Group C
21,65,1,2,1,6,98,1,1,1,2,0,1,0,4,0,1,2,1,64,2,4,4,1,Group B
24,68,0,2,0,8,56,1,1,3,0,0,1,1,1,0,0,2,1,67,4,2,1,2,Group C
21,84,2,2,1,6,52,1,1,1,2,0,1,1,2,1,0,0,0,65,1,4,2,1,Group D
19,63,1,0,0,7,94,2,1,1,2,2,0,2,3,0,1,1,1,64,4,2,1,5,Group C
18,94,2,0,1,7,82,2,1,3,2,2,0,0,2,1,0,2,1,70,2,1,4,4,Group B
11,98,2,2,1,9,82,1,1,1,2,2,0,2,3,0,2,0,1,68,2,1,5,1,Group B
16,70,2,2,1,8,98,2,1,2,2,2,1,2,3,0,1,1,1,65,1,2,5,1,Group C
17,78,2,2,1,6,88,2,1,1,2,0,0,2,3,0,0,2,0,68,2,3,2,2,Group D
26,61,2,1,1,6,70,2,1,2,1,2,1,2,3,0,1,1,0,64,5,5,4,3,Group D
22,86,1,2,1,7,72,1,1,3,1,0,1,2,2,0,1,1,1,68,2,4,1,4,Group B
9,77,2,2,0,5,57,2,1,2,2,0,1,1,3,0,1,2,1,63,4,4,5,3,Group D
22,71,1,2,1,7,65,1,1,1,2,1,1,2,4,0,0,1,1,64,4,4,3,5,Group D
18,68,0,2,0,7,72,2,1,0,2,2,1,1,3,0,0,2,1,64,4,1,4,5,Group A
16,86,1,2,1,8,63,2,1,2,2,2,1,2,4,0,1,2,1,67,4,4,4,3,Group A
24,77,0,1,0,8,96,2,1,0,2,2,1,1,3,0,1,2,0,67,5,5,3,2,Group D
26,67,2,0,1,7,51,1,1,2,0,0,0,1,4,1,2,0,0,66,3,5,5,2,Group D
26,88,2,0,1,5,79,2,1,1,1,0,0,2,4,0,0,1,1,72,1,2,3,2,Group A
15,83,2,0,0,5,89,1,0,1,2,0,1,1,2,1,1,2,0,65,4,1,2,4,Group A
18,94,2,2,1,6,87,0,1,1,2,2,1,2,4,0,1,2,1,71,2,5,1,5,Group A
22,65,0,1,0,8,82,2,1,2,2,0,1,2,1,0,2,2,0,66,4,3,1,5,Group B
26,91,2,1,1,8,71,2,1,0,1,2,0,1,3,0,1,1,1,68,2,1,5,5,Group B
17,87,2,2,0,7,96,2,1,1,0,2,1,0,5,0,2,2,0,70,2,1,3,4,Group A
19,65,2,2,1,10,66,1,1,0,1,2,1,2,3,0,1,1,1,62,4,5,4,5,Group A
13,88,1,0,1,9,88,0,1,2,1,0,0,0,4,0,2,0,1,68,5,3,4,3,Group A
13,78,2,0,1,9,96,0,1,2,1,2,1,1,3,0,0,1,1,67,2,2,4,1,Group B
25,98,1,0,1,8,56,2,0,0,2,0,0,1,3,0,2,2,1,71,2,5,2,4,Group B
28,66,2,0,1,8,97,2,1,0,2,2,1,1,2,0,1,2,1,68,4,3,2,1,Group D
20,86,2,2,1,8,89,2,1,1,1,2,1,0,3,0,2,2,1,69,2,1,4,3,Group C
26,75,1,0,1,4,81,0,1,3,2,0,0,2,2,0,1,1,1,70,2,3,5,2,Group D
22,98,2,0,0,5,69,1,0,1,1,0,1,0,4,0,1,1,0,69,4,1,2,2,Group C
16,73,2,2,0,7,95,2,1,1,1,2,1,0,4,0,0,2,1,65,4,5,2,2,Group C
22,98,2,1,1,7,52,2,0,3,2,2,1,2,3,0,0,2,0,70,1,5,1,4,Group C
29,96,2,1,1,7,72,2,1,1,1,2,1,2,3,0,1,1,1,71,5,4,1,2,Group D
20,71,2,2,1,7,88,2,1,1,1,1,1,1,4,0,0,2,0,65,5,4,5,4,Group B
29,92,1,2,0,4,91,2,1,2,2,2,1,0,1,0,2,2,0,72,2,4,2,4,Group B
4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,1,69,5,5,2,1,Group B
25,70,2,2,0,7,52,2,1,1,2,2,1,2,3,0,2,2,0,66,2,2,3,2,Group B
21,77,1,2,1,7,90,2,1,4,2,2,0,1,3,0,2,1,1,68,1,5,5,5,Group D
18,81,0,1,1,8,71,2,1,0,2,2,1,1,3,0,1,1,0,65,4,3,5,2,Group A
21,72,2,2,1,5,57,2,1,1,0,2,1,1,5,1,0,1,1,64,4,5,3,2,Group C
8,61,2,2,1,7,54,2,1,1,0,2,1,2,3,0,0,2,1,60,4,5,3,2,Group B
19,69,2,0,1,7,82,0,1,1,1,2,1,0,2,0,1,2,1,65,5,1,1,5,Group B
22,71,0,2,0,6,79,0,1,1,1,1,1,2,3,0,1,2,1,66,1,1,5,5,Group D
29,78,0,0,1,4,93,1,1,5,2,0,1,1,3,0,0,2,1,74,5,1,5,4,Group C
17,67,2,2,1,5,52,0,1,2,2,2,0,0,3,0,1,0,0,62,5,5,3,5,Group B
15,95,2,2,0,7,93,2,1,2,1,2,1,2,4,0,0,1,1,70,1,2,4,4,Group A
17,88,2,0,1,7,94,1,1,0,2,2,1,1,3,0,1,2,1,69,1,3,4,1,Group B
25,63,2,0,1,7,72,2,1,3,2,0,0,0,4,0,0,0,1,67,1,3,1,4,Group C
22,86,1,1,0,6,54,2,1,2,2,2,1,1,0,0,1,1,1,64,1,2,4,2,Group A
17,86,2,0,0,5,97,0,1,3,0,2,1,1,3,0,0,2,1,71,4,2,4,3,Group D
23,98,2,1,1,7,54,1,1,0,2,2,1,0,3,0,0,2,0,68,3,3,4,3,Group A
21,60,0,2,0,7,80,2,1,0,2,0,1,1,4,1,0,2,1,64,3,4,2,2,Group C
26,70,2,1,1,8,75,2,1,1,2,1,0,1,4,1,1,0,0,63,1,1,1,4,Group C
16,97,2,2,1,6,92,1,1,0,0,2,0,2,4,0,0,2,1,71,3,1,3,2,Group A
18,97,0,2,1,4,75,1,1,0,1,2,1,2,3,0,1,1,1,69,3,3,4,5,Group B
18,89,0,2,1,4,73,2,1,3,0,2,0,2,2,0,0,2,0,100,1,2,2,4,Group C
11,91,2,2,0,6,94,2,1,3,2,2,1,1,3,0,0,1,1,68,3,4,4,2,Group A
22,64,1,2,0,7,98,1,0,1,2,2,1,0,3,0,1,2,1,62,5,3,2,5,Group C
22,81,2,2,1,7,77,1,1,2,2,2,1,2,3,0,2,0,0,68,2,1,1,5,Group B
20,69,0,0,1,6,73,2,1,2,1,2,0,2,3,0,1,0,1,66,2,5,4,4,Group B
19,67,1,2,0,5,92,0,1,0,2,2,1,2,3,0,0,2,1,64,1,2,2,1,Group A
12,92,2,2,0,4,92,0,1,2,2,0,1,1,3,1,1,1,1,67,4,5,5,1,Group D
17,65,2,0,1,8,66,2,1,1,0,0,1,1,4,1,2,1,0,65,1,3,5,5,Group D
18,79,2,2,1,7,79,2,1,0,1,0,0,1,3,0,0,0,1,65,4,1,2,1,Group B
15,98,0,2,0,6,58,0,1,0,1,0,1,2,3,0,0,2,1,69,2,4,4,5,Group D
19,67,2,2,0,5,82,0,1,1,1,1,0,0,3,0,1,2,1,63,1,5,4,1,Group B
22,99,2,1,1,6,92,1,1,3,2,2,1,0,4,0,2,1,1,72,5,4,1,5,Group D
31,100,2,2,0,7,59,2,1,2,0,0,1,2,5,0,2,1,1,76,3,1,1,5,Group B
21,82,2,0,1,7,66,0,1,3,1,2,1,2,3,1,0,2,0,69,4,5,3,5,Group C
22,67,2,2,1,7,72,0,1,3,1,0,1,2,2,0,2,1,0,67,3,4,1,5,Group A
20,73,0,2,1,9,92,2,1,2,2,0,1,2,3,0,0,2,1,69,3,4,4,3,Group A
8,77,0,2,1,6,87,2,1,0,1,2,1,1,2,0,1,1,1,63,1,5,3,1,Group D
20,72,2,2,0,9,66,2,1,3,1,0,0,2,3,0,2,2,1,67,3,1,1,5,Group A
20,71,1,0,1,7,62,0,1,2,2,2,1,0,5,0,0,2,1,66,5,4,2,2,Group D
35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,0,79,3,3,5,4,Group B
19,66,2,2,0,8,74,2,1,1,0,2,1,1,3,0,1,2,0,64,1,5,1,2,Group C
22,89,0,0,1,6,80,2,1,1,0,0,1,2,3,0,1,2,0,73,5,2,1,2,Group A
20,60,1,0,0,7,82,0,1,2,1,0,1,2,4,1,1,2,1,63,2,2,2,3,Group C
13,84,2,2,0,5,78,2,1,1,1,0,1,2,2,0,1,2,1,65,3,1,4,1,Group A
27,97,1,0,1,8,81,2,1,0,0,2,1,2,5,0,1,2,0,73,1,3,2,3,Group B
25,72,0,0,1,8,94,1,1,2,1,2,0,2,4,0,0,1,0,70,2,4,1,1,Group A
25,67,0,2,0,9,93,0,1,2,1,0,1,2,3,1,1,2,0,68,2,2,4,5,Group A
15,86,2,2,1,7,57,2,1,1,2,2,1,0,3,0,0,2,1,65,4,1,3,3,Group B
28,89,1,0,1,9,79,0,1,0,1,2,0,2,1,0,0,1,0,71,5,3,1,4,Group D
12,88,1,2,0,6,72,1,1,2,2,2,1,2,2,0,0,0,1,64,3,3,2,1,Group D
24,73,2,0,1,8,64,2,1,4,0,2,0,1,3,1,0,1,1,68,1,1,3,3,Group B
33,70,2,2,1,6,82,1,1,1,1,0,1,1,4,0,0,2,1,69,4,1,5,4,Group D
14,98,2,2,0,7,76,2,1,0,2,0,0,2,4,0,0,1,0,69,5,4,3,2,Group A
17,97,2,2,0,8,89,2,1,1,1,2,1,1,4,0,1,0,1,69,4,1,2,5,Group C
21,78,2,2,1,10,55,2,1,1,0,1,0,2,2,0,0,2,1,67,5,4,3,5,Group B
17,94,1,2,1,8,65,1,1,4,2,2,1,1,6,0,1,0,0,68,5,4,2,2,Group A
11,78,2,0,1,8,51,2,1,2,1,2,1,1,3,0,2,2,1,64,3,5,1,3,Group B
20,77,2,2,0,6,87,1,1,0,1,0,1,2,4,0,1,2,0,66,5,3,4,2,Group C
14,66,0,1,0,7,96,2,1,3,1,0,1,0,3,0,1,2,1,63,4,3,5,4,Group A
23,77,2,2,1,7,79,2,1,0,1,0,1,1,2,0,1,1,1,66,5,3,4,1,Group A
14,81,2,2,0,9,81,2,1,1,1,0,0,0,3,0,2,2,0,66,3,5,4,3,Group C
29,61,2,0,1,7,52,1,1,3,1,2,0,2,3,0,0,2,0,67,3,4,4,1,Group C
15,78,0,0,0,9,75,1,1,1,1,2,1,0,1,0,1,2,1,65,4,4,2,2,Group D
18,91,1,2,1,5,76,2,1,1,2,2,1,1,3,0,1,2,0,68,2,1,2,5,Group A
25,87,2,1,0,9,52,0,1,1,1,0,0,2,2,0,1,2,1,68,2,5,5,1,Group C
13,85,0,2,0,6,89,2,1,0,0,2,0,1,1,1,1,2,1,65,5,1,2,1,Group C
21,96,2,2,0,8,64,0,1,2,2,0,1,1,0,0,0,2,1,71,1,5,2,5,Group A
28,61,2,0,0,6,86,0,1,1,1,2,0,0,3,1,2,0,1,65,5,1,2,1,Group D
10,82,2,1,0,8,70,2,1,3,1,0,1,2,1,1,2,2,0,64,4,2,2,1,Group B
21,91,0,2,0,6,100,2,1,0,0,2,0,1,2,0,2,2,0,72,4,3,1,5,Group D
22,82,2,2,0,9,61,2,1,2,1,2,1,0,2,1,1,2,0,65,4,3,5,5,Group C
25,73,2,0,0,8,53,0,0,0,1,0,0,0,5,0,2,2,0,66,4,4,2,2,Group B
13,65,1,0,0,6,99,2,1,0,1,2,0,0,4,0,1,2,1,61,4,2,5,2,Group B
12,96,1,0,1,8,62,2,1,2,2,0,1,0,3,0,0,2,0,68,3,3,3,1,Group D
23,79,0,0,1,8,82,1,1,3,2,2,1,0,3,1,2,1,0,69,2,4,1,3,Group B
22,95,2,0,1,6,69,2,1,1,1,2,1,2,3,0,0,2,0,72,4,2,2,2,Group C
22,83,2,0,1,5,82,2,1,2,1,0,1,2,3,0,2,2,0,71,1,3,1,2,Group A
22,87,0,0,0,5,80,1,1,2,1,0,1,0,3,0,1,2,0,70,1,1,1,3,Group A
16,92,2,0,1,5,85,1,1,1,1,2,1,1,2,0,1,1,1,68,1,5,3,3,Group A
21,86,1,2,1,5,51,2,1,2,1,0,1,2,2,0,1,1,0,67,1,2,5,5,Group D
22,76,2,2,1,8,92,2,1,1,1,0,1,1,4,0,1,2,0,68,3,4,1,2,Group A
16,81,2,2,1,8,74,2,1,3,2,2,1,2,2,0,2,2,0,68,1,2,4,4,Group A
31,92,2,2,1,4,76,2,1,2,2,0,1,2,4,1,1,0,1,72,4,4,3,4,Group A
23,75,1,0,0,6,71,1,1,0,2,2,1,1,2,0,0,2,1,65,5,2,4,1,Group B
13,76,2,0,0,5,99,1,1,2,2,2,0,2,4,0,1,2,0,66,1,4,3,2,Group B
24,64,2,2,1,8,90,0,1,0,1,0,1,0,3,0,1,2,1,65,3,3,4,4,Group B
14,97,2,2,1,6,66,2,1,2,2,2,1,0,3,1,0,2,0,67,3,1,4,2,Group C
25,64,2,0,0,5,89,1,1,2,2,2,1,1,4,0,0,0,1,66,1,3,1,2,Group C
27,86,2,2,0,7,72,1,1,1,2,0,1,2,4,0,1,0,1,69,5,1,1,4,Group C
15,77,2,2,1,8,94,1,1,0,0,0,1,2,3,0,0,1,1,66,1,3,3,2,Group A
26,76,2,0,1,6,52,2,1,4,0,1,1,1,3,0,1,2,1,69,3,3,5,3,Group B
22,87,0,1,1,7,68,2,0,0,1,2,1,1,2,0,1,2,1,67,2,2,1,1,Group C
25,63,0,2,1,6,71,2,1,1,2,1,0,2,3,0,1,2,1,66,4,5,1,5,Group D
31,84,2,2,1,9,87,2,1,2,1,2,0,1,3,0,0,0,1,71,3,4,2,4,Group B
19,91,0,1,0,6,59,2,1,5,2,0,1,1,4,0,0,1,1,70,1,4,1,5,Group A
15,93,0,2,0,6,64,2,1,2,2,0,1,2,4,0,2,2,1,71,4,4,5,1,Group B
15,67,2,2,1,7,86,0,1,1,0,2,0,2,3,0,2,2,1,66,1,1,2,3,Group A
15,96,2,2,0,7,54,0,0,3,2,0,1,0,2,0,1,2,1,67,1,4,4,3,Group C
20,86,0,1,0,8,60,2,1,1,2,2,1,1,4,1,0,0,0,66,2,4,4,3,Group A
22,95,2,0,0,9,88,1,1,0,1,0,1,2,2,0,2,2,1,72,4,2,2,3,Group A
22,79,2,2,0,9,94,2,1,1,2,2,1,2,3,0,1,2,1,68,4,3,2,4,Group D
25,82,2,2,0,6,86,2,0,3,1,0,1,2,3,0,1,2,0,69,2,4,2,4,Group B
20,97,2,2,1,7,76,1,1,2,1,1,0,2,3,0,2,2,1,71,3,5,3,2,Group A
29,96,2,2,1,9,55,1,0,0,2,2,1,1,2,0,2,0,0,70,1,4,5,2,Group D
18,78,2,2,0,9,91,0,1,2,0,1,1,1,4,0,0,0,0,67,5,1,5,1,Group D
36,71,2,2,1,6,56,2,1,2,0,2,1,2,2,0,1,0,1,69,1,1,4,2,Group D
24,76,1,0,0,8,69,1,1,2,2,2,1,1,1,0,1,1,1,65,1,1,4,1,Group C
15,76,0,0,0,8,53,2,1,1,1,2,1,1,4,0,0,2,1,65,3,4,4,1,Group C
14,71,2,2,1,8,85,1,1,2,2,0,1,1,4,0,1,2,1,64,1,2,1,1,Group A
23,71,1,1,1,9,75,1,1,1,1,2,1,0,2,0,0,2,1,63,2,5,4,3,Group B
19,94,1,2,1,5,95,2,1,3,1,1,1,2,2,0,1,1,1,69,2,4,2,5,Group C
24,63,2,1,1,6,57,2,1,1,1,0,0,1,5,0,0,2,0,64,4,2,4,5,Group C
23,87,0,0,1,8,91,0,1,0,0,2,0,2,3,0,1,1,1,72,5,2,2,4,Group A
20,67,1,2,1,7,76,2,1,0,2,2,1,1,4,0,1,2,1,63,1,4,3,1,Group A
15,74,1,0,1,4,68,1,1,3,1,2,1,2,3,0,1,2,0,64,1,4,1,3,Group C
11,62,2,0,1,5,82,2,1,3,0,2,0,1,4,0,0,1,1,64,3,2,1,2,Group A
17,71,2,2,1,8,90,2,1,5,2,2,1,2,1,0,2,0,1,67,2,2,5,2,Group D
25,91,2,2,0,8,72,1,1,2,2,0,1,2,0,0,2,2,1,71,5,2,3,4,Group A
21,95,2,2,0,5,62,0,1,1,2,1,1,2,4,0,1,2,1,70,4,4,2,4,Group D
13,69,2,1,1,9,96,1,1,0,0,2,0,1,4,0,1,0,0,61,2,2,3,1,Group C
21,79,2,0,1,7,66,1,1,2,1,2,1,0,4,0,0,1,1,67,4,1,1,1,Group B
22,79,0,2,0,5,100,2,1,4,0,0,1,0,3,0,0,2,1,72,3,4,2,2,Group D
15,95,1,1,1,6,88,1,1,1,1,2,1,0,5,0,1,2,1,66,3,1,3,2,Group B
21,91,2,0,1,5,84,2,1,1,0,1,1,1,2,0,1,2,1,70,1,3,1,2,Group C
20,81,0,2,1,6,51,0,0,3,2,2,1,1,4,1,1,2,1,67,5,4,2,2,Group A
13,87,0,1,1,4,72,2,1,2,2,0,1,1,3,0,1,1,0,67,4,3,2,5,Group D
22,94,1,2,1,7,75,0,1,2,0,2,1,1,2,0,0,2,0,71,2,2,1,1,Group D
23,60,0,2,1,8,69,2,1,1,1,2,0,2,4,0,0,2,1,66,3,2,2,1,Group C
26,76,2,2,1,5,57,2,1,1,2,2,1,2,4,0,1,2,1,68,1,5,1,2,Group C
26,96,2,2,1,7,68,2,1,3,0,2,0,2,3,0,0,2,0,74,1,2,4,3,Group A
12,90,2,1,1,6,54,2,0,1,0,2,1,1,3,0,1,2,1,64,4,3,4,2,Group B
14,82,2,2,0,8,65,2,1,1,1,2,0,2,3,0,0,2,1,65,3,2,2,4,Group D
23,81,1,2,1,4,54,2,1,1,1,2,1,1,3,0,0,2,1,66,5,4,2,3,Group B
23,74,2,0,1,8,88,1,1,0,2,0,1,0,3,1,1,2,1,66,3,2,1,4,Group D
23,81,2,1,0,4,84,2,1,2,2,2,1,2,5,0,1,2,1,68,4,5,2,3,Group D
43,86,0,2,1,7,97,2,1,2,2,0,1,2,1,0,1,2,0,78,4,2,5,4,Group A
23,77,2,0,1,6,69,1,1,1,2,2,0,2,2,0,1,1,0,67,3,3,4,2,Group D
27,89,2,0,1,6,89,2,1,3,2,2,0,2,3,0,1,2,1,74,4,3,2,2,Group D
26,94,2,0,0,5,79,0,1,1,1,0,1,2,2,0,2,2,1,74,3,2,2,3,Group C
24,66,2,1,0,9,82,1,1,1,2,2,1,1,2,1,1,2,0,62,2,3,3,4,Group A
18,78,0,2,1,5,77,2,0,2,2,2,1,1,4,0,1,0,1,66,3,3,2,5,Group C
25,76,2,2,1,5,89,0,1,3,2,0,1,1,3,0,1,0,0,69,3,5,5,3,Group D
15,87,2,0,1,10,52,2,1,2,1,0,0,2,3,0,0,2,1,68,4,4,4,3,Group A
19,70,2,1,0,7,54,0,1,0,2,2,1,2,2,1,1,1,1,89,4,5,3,1,Group D
17,86,0,1,0,5,55,1,0,2,0,2,0,1,4,0,0,2,1,66,1,1,1,3,Group A
20,95,1,2,1,7,64,1,0,2,2,0,1,1,3,0,1,2,0,68,1,5,1,5,Group B
34,77,2,1,1,7,80,1,1,0,2,2,1,2,3,0,1,2,1,69,2,2,4,2,Group B
9,96,2,2,1,4,82,0,0,0,1,2,1,2,4,0,0,2,1,67,1,4,1,4,Group A
24,100,0,0,1,6,86,1,1,2,2,2,0,2,5,0,1,2,1,75,3,2,5,1,Group D
10,64,2,0,0,7,64,0,1,0,2,2,1,2,4,1,1,1,0,60,4,1,2,4,Group A
17,69,0,2,1,9,83,2,1,2,2,0,0,2,4,1,0,1,0,66,1,4,4,2,Group D
27,98,1,0,1,7,56,1,1,1,0,2,0,2,3,0,0,2,0,73,1,3,3,3,Group B
20,98,2,1,0,7,50,1,1,1,2,0,0,1,2,0,1,2,0,68,2,5,2,5,Group D
14,64,2,2,1,6,85,2,1,0,2,2,1,1,3,0,1,2,1,62,2,2,1,1,Group C
16,61,2,2,0,9,86,1,1,2,1,0,1,2,2,0,1,2,1,62,3,1,1,5,Group B
24,66,0,1,1,8,81,0,1,1,2,2,1,1,4,0,1,0,1,65,4,3,3,5,Group C
16,100,0,1,1,8,63,0,1,2,1,2,1,0,3,0,1,1,1,69,2,5,5,5,Group B
21,67,2,2,0,7,96,1,1,3,1,2,1,1,2,0,1,0,0,64,1,3,3,5,Group B
20,80,2,0,0,5,94,2,1,0,1,1,0,2,4,1,2,1,0,67,4,5,4,2,Group C
16,94,0,0,1,9,76,2,1,0,1,0,1,1,2,0,1,2,1,70,4,4,3,5,Group A
33,61,2,2,0,7,99,0,1,2,2,0,1,1,3,0,0,2,0,70,1,3,1,5,Group D
24,84,0,1,0,7,65,1,1,3,2,0,1,2,3,0,1,2,0,69,2,3,5,2,Group B
8,71,0,1,0,8,75,2,1,0,2,0,1,2,3,0,1,2,1,61,1,3,5,4,Group D
21,94,2,2,0,7,96,1,1,0,2,2,0,1,2,1,2,1,1,69,4,4,3,2,Group B
16,71,0,2,1,5,73,2,1,1,2,2,1,1,0,1,1,2,1,63,5,1,4,3,Group D
25,87,2,1,1,7,74,1,1,0,2,0,1,1,4,1,1,2,1,67,5,5,1,2,Group B
15,87,1,2,0,4,54,2,1,1,2,2,1,1,6,0,1,1,1,65,3,3,2,4,Group A
19,69,2,2,1,7,61,0,1,3,0,0,1,1,4,0,1,1,1,66,1,4,5,3,Group B
23,61,1,2,0,9,58,2,1,4,2,2,1,1,2,0,1,2,1,63,1,1,3,3,Group A
25,76,2,0,1,4,78,2,1,2,2,2,0,0,3,0,1,1,0,68,3,5,4,1,Group B
13,72,0,0,0,7,66,2,1,0,1,0,1,1,4,0,2,2,1,65,3,4,4,5,Group D
18,92,1,2,1,8,54,2,1,1,2,2,1,2,3,0,1,2,1,67,3,5,1,3,Group C
17,92,1,1,1,8,75,2,1,2,2,0,1,1,3,0,2,2,0,68,4,3,5,3,Group B
16,78,2,0,0,6,83,2,1,0,1,1,1,1,3,1,0,2,1,64,1,1,1,4,Group B
31,84,2,2,0,5,87,0,1,0,2,2,0,2,3,0,0,1,1,71,4,4,2,3,Group A
22,84,2,2,1,6,92,1,1,0,2,2,1,1,5,0,1,2,0,69,3,1,2,4,Group D
12,93,2,2,1,9,74,1,1,1,2,2,1,1,3,0,2,1,1,67,1,3,2,5,Group A
26,77,1,2,0,4,70,1,1,2,0,1,1,1,3,1,0,1,0,65,4,1,4,1,Group D
33,71,1,2,0,5,84,2,1,1,2,2,1,2,2,0,1,2,1,68,4,1,5,1,Group D
26,71,0,2,1,6,51,1,0,1,0,2,0,2,3,0,2,1,1,67,3,2,1,5,Group A
11,81,2,2,1,6,82,0,1,3,2,0,1,1,4,0,1,2,1,67,1,1,1,5,Group C
17,78,2,0,1,7,70,2,0,2,1,0,1,2,3,0,1,2,1,66,3,5,2,2,Group D
28,78,0,2,0,9,73,0,1,2,2,2,1,1,4,0,0,1,0,70,1,4,5,3,Group C
16,64,0,1,1,5,65,2,1,3,2,0,0,2,4,0,2,1,0,65,5,2,5,3,Group A
23,89,1,1,1,7,56,1,1,4,2,1,0,2,4,0,2,2,0,69,2,4,3,3,Group C
25,69,2,2,1,7,70,1,0,1,0,0,1,2,4,0,1,0,0,65,2,4,5,4,Group D
14,68,0,2,0,6,65,2,1,1,0,2,1,1,3,1,0,2,1,63,2,3,5,2,Group A
